City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
252,wladyslawowo,54.7909,18.4009,279.82,91,100,9.61,PL,1712098767
253,bubaque,11.2833,-15.8333,297.87,73,26,9.23,GW,1712098767
254,del rio,29.3627,-100.8968,300.16,19,40,8.75,US,1712098679
255,tabou,4.423,-7.3528,300.93,88,48,2.11,CI,1712098767
256,cabedelo,-6.9811,-34.8339,302.52,83,34,4.38,BR,1712098768
257,tvoroyri,61.5556,-6.8111,277.04,56,100,12.17,FO,1712098768
258,mogocha,53.7333,119.7667,267.17,84,88,1.64,RU,1712098768
259,galesong,-5.3166,119.3661,298.16,85,100,2.47,ID,1712098768
260,jiangzi,28.95,89.6333,270.74,70,17,2.94,CN,1712098768
261,payakumbuh,-0.2202,100.6308,294.98,97,86,0.71,ID,1712098768
262,fisterra,42.9049,-9.2629,287.45,89,20,9.11,ES,1712098768
263,horta,38.5333,-28.6333,288.54,81,99,11.61,PT,1712098768
264,lobujya,27.95,86.8167,263.4,70,52,0.88,NP,1712098768
265,taro,-8.3862,115.28,296.15,94,81,0.16,ID,1712098768
266,caldwell,43.6629,-116.6874,295.92,34,0,2.06,US,1712098578
267,la sarre,48.8002,-79.1996,273.74,77,32,5.31,CA,1712098768
268,christchurch,-43.5333,172.6333,291.16,71,86,7.72,NZ,1712098559
269,ar rahad,12.7167,30.65,298.8,14,77,2.02,SD,1712098769
270,zhytkavichy,52.2168,27.8561,280.76,89,100,10.01,BY,1712098769
271,muroto-misakicho,33.2833,134.15,290.31,95,100,2.2,JP,1712098769
272,lospalos,-8.5186,127.0025,297.93,83,99,0.28,TL,1712098769
273,tumaco,1.7986,-78.8156,297.57,89,100,0.43,CO,1712098769
274,mahikeng,-25.8652,25.6442,293.14,60,71,3.09,ZA,1712098769
275,midvagur,62.0511,-7.1939,274.61,51,75,3.6,FO,1712098769
276,messini,37.0511,22.0078,291.58,88,63,3.6,GR,1712098769
277,klaksvik,62.2266,-6.589,274.66,59,100,11.3,FO,1712098769
278,rajapur,25.3833,81.15,299.16,18,100,1.6,IN,1712098769
279,zelenogorskiy,55.0333,87.0,273.75,99,100,1.55,RU,1712098770
280,hobyo,5.3505,48.5268,301.38,74,25,4.01,SO,1712098667
281,santa maria do suacui,-18.1903,-42.4142,295.25,98,100,0.78,BR,1712098771
282,arteche,12.2645,125.4048,299.18,84,85,2.06,PH,1712098771
283,port saint john's,-31.6229,29.5448,294.69,77,100,2.59,ZA,1712098771
284,chamical,-30.36,-66.314,292.58,65,6,4.47,AR,1712098771
285,vila do maio,15.1333,-23.2167,295.59,78,10,8.26,CV,1712098721
286,wellington,-41.2866,174.7756,292.03,71,75,8.23,NZ,1712098629
287,tonj,7.2737,28.6822,300.46,54,92,3.14,SS,1712098771
288,kegeyli shahar,42.7767,59.6078,280.2,61,0,3.02,UZ,1712098771
289,san luis de la loma,17.2706,-100.8939,301.49,65,67,5.15,MX,1712098771
290,shaoxing,30.011,120.5715,292.12,86,97,3.08,CN,1712098772
291,ambon,-3.6954,128.1814,301.97,95,40,1.54,ID,1712098772
292,cuyo,10.8525,121.0086,300.95,76,82,3.08,PH,1712098772
293,klyuchi,52.2667,79.1667,273.47,98,92,2.83,RU,1712098772
294,khandyga,62.6667,135.6,260.58,95,100,0.74,RU,1712098772
295,ola,59.5833,151.2833,266.26,65,1,3.45,RU,1712098772
296,bengkulu,-3.8004,102.2655,298.41,90,71,1.68,ID,1712098772
297,alaghsas,17.0187,8.0168,303.49,7,94,4.42,NE,1712098772
298,fuxin,42.0156,121.6589,279.57,22,100,3.23,CN,1712098772
299,flin flon,54.7682,-101.865,281.06,39,40,1.54,CA,1712098706
300,nikolayevsk-on-amure,53.1406,140.73,270.57,83,84,1.87,RU,1712098772
301,malango,-2.9627,119.9001,294.35,97,100,0.41,ID,1712098772
302,sint michiel liber,12.15,-68.9833,302.05,74,20,5.14,CW,1712098773
303,tangalle,6.024,80.7911,299.2,87,97,1.59,LK,1712098773
304,chrysoupolis,40.9856,24.6939,288.11,57,31,1.62,GR,1712098773
305,mana,5.6592,-53.7767,300.07,85,22,4.27,GF,1712098667
306,adler,43.43,39.92,290.24,42,62,7.0,RU,1712098773
307,maintirano,-18.0667,44.0167,298.8,86,3,2.75,MG,1712098773
308,weno,7.4515,151.8468,301.48,77,100,9.75,FM,1712098773
309,okha,53.5739,142.9478,267.96,82,96,5.52,RU,1712098773
310,porbandar,21.6422,69.6093,297.56,80,82,3.95,IN,1712098773
311,iskateley,67.6803,53.1512,256.7,91,5,4.96,RU,1712098773
312,bikenibeu village,1.3673,173.1241,302.13,84,40,2.06,KI,1712098773
313,gargalianoi,37.0667,21.6333,290.01,84,86,4.17,GR,1712098773
314,myeik,12.4333,98.6,298.83,80,29,1.17,MM,1712098774
315,taltal,-25.4,-70.4833,291.38,86,24,1.48,CL,1712098774
316,katabu,-4.9333,122.5167,298.5,91,100,1.15,ID,1712098774
317,susuman,62.7833,148.1667,254.81,79,8,1.34,RU,1712098774
318,corner brook,48.9667,-57.9484,275.24,84,92,4.51,CA,1712098612
319,saint-leu,-21.15,55.2833,297.63,75,91,2.1,RE,1712098774
320,san sebastian de la gomera,28.0916,-17.1133,293.35,72,0,2.57,ES,1712098708
321,nurmes,63.5421,29.1397,267.19,88,100,5.35,FI,1712098774
322,ust-nera,64.5667,143.2,259.26,86,68,1.05,RU,1712098774
323,n'zeto,-7.2312,12.8666,300.33,88,65,2.22,AO,1712098774
324,nadym,65.5333,72.5167,273.64,98,100,9.39,RU,1712098590
325,castillos,-34.1667,-53.8333,287.92,74,35,2.26,UY,1712098774
326,mariehamn,60.0973,19.9348,273.07,74,100,9.26,AX,1712098774
327,sao felix do xingu,-6.6447,-51.995,297.06,97,84,0.65,BR,1712098775
328,bay roberts,47.5999,-53.2648,275.0,86,78,4.92,CA,1712098775
329,pematangsiantar,2.9595,99.0687,295.19,93,98,1.36,ID,1712098775
330,ankazoabo,-22.2833,44.5167,293.44,86,7,2.31,MG,1712098775
331,choyr,46.3611,108.3611,269.99,42,3,1.23,MN,1712098775
332,canico,32.6333,-16.85,290.77,78,40,2.57,PT,1712098775
333,nemuro,43.3236,145.575,274.86,66,1,3.55,JP,1712098775
334,botou,38.0667,116.5667,283.7,55,100,6.2,CN,1712098775
335,xilin hot,43.9667,116.0333,274.4,35,61,2.71,CN,1712098775
336,argostolion,38.1811,20.489,288.2,75,95,3.81,GR,1712098775
337,cole harbour,44.6724,-63.4751,279.86,67,74,1.79,CA,1712098775
338,hanko,59.8333,22.95,273.62,95,100,9.83,FI,1712098775
339,inirida,3.8653,-67.9239,302.03,69,83,0.96,CO,1712098632
340,hasaki,35.7333,140.8333,286.37,72,100,2.96,JP,1712098776
341,labrador city,52.9463,-66.9114,274.1,69,100,4.12,CA,1712098776
342,carutapera,-1.195,-46.02,298.88,93,70,2.63,BR,1712098776
343,kayangel,8.0823,134.7173,301.11,80,77,10.51,PW,1712098776
344,inhambane,-23.865,35.3833,297.08,89,6,2.4,MZ,1712098776
345,richards bay,-28.783,32.0377,294.58,93,2,2.12,ZA,1712098776
346,salinas,36.6777,-121.6555,297.94,61,0,5.14,US,1712098776
347,dryden,49.7833,-92.7503,279.31,42,75,3.6,CA,1712098776
348,uturoa,-16.7333,-151.4333,301.69,75,25,8.4,PF,1712098776
349,puerto penasco,31.3167,-113.5333,294.21,62,0,4.47,MX,1712098776
350,ilha de mocambique,-15.0342,40.7358,300.52,78,27,3.38,MZ,1712098777
